run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,**.traffic.platoonInsertSpeed,100kmph,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].scenario.leaderOscillationFrequency,0.2 Hz,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].scenario.oscillationAmplitude,10 kmph,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].scenario.startOscillating,5 s,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].prot.positionInjectionRate,2.5mps,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].prot.positionInjectionLimit,50m,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].prot.speedInjectionRate,0.13889mpsps,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].prot.speedInjectionLimit,10kmph,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].prot.accelerationInjectionRate,0.05mpspsps,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].prot.accelerationInjectionLimit,1mpsps,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[4].protocol_type,"""InjectedBeaconing""",,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].prot.attackStart,10s,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.manager.useGui,false,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.playgroundSizeX,65000m,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.playgroundSizeY,25000m,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.playgroundSizeZ,50m,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,**.debug,false,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,**.coreDebug,false,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.annotations.draw,false,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.obstacles.debug,false,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.world.useTorus,false,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.world.use2D,false,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.manager.updateInterval,0.01s,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.manager.host,"""localhost""",,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.manager.moduleType,"""org.car2x.veins.modules.application.platooning.PlatoonCar""",,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.manager.moduleName,"""node""",,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.manager.moduleDisplayString,"""""",,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.manager.autoShutdown,true,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.manager.margin,25,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.connectionManager.sendDirect,true,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.connectionManager.maxInterfDist,2600m,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.connectionManager.drawMaxIntfDist,false,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.**.nic.mac1609_4.useServiceChannel,false,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.**.nic.mac1609_4.txPower,100mW,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.**.nic.mac1609_4.bitrate,6Mbps,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.**.nic.phy80211p.sensitivity,-94dBm,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.**.nic.phy80211p.maxTXPower,100mW,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.**.nic.phy80211p.useThermalNoise,true,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.**.nic.phy80211p.thermalNoise,-95dBm,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.**.nic.phy80211p.decider,"xmldoc(""config.xml"")",,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.**.nic.phy80211p.analogueModels,"xmldoc(""config.xml"")",,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.**.nic.phy80211p.usePropagationDelay,true,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].mobility.x,0,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].mobility.y,0,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].mobility.z,1.895,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,**.seed,0,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.manager.configFile,"""./sumocfg/freeway.sumo.cfg""",,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,**.numberOfCars,8,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,**.numberOfCarsPerPlatoon,8,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,**.numberOfLanes,1,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].helper_type,"""PositionHelper""",,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].helper.nLanes,1,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].helper.platoonSize,8,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].helper.nCars,8,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].scenario.caccC1,0.5,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].scenario.caccXi,1,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].scenario.caccOmegaN,0.2 Hz,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].scenario.engineTau,0.5 s,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].scenario.ploegKp,0.2,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].scenario.ploegKd,0.7,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].scenario.useRealisticEngine,false,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].scenario.useControllerAcceleration,true,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,**.numericController,2,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].scenario.controller,"""CONSENSUS""",,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].scenario.spacing,10m,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].scenario.headway,0s,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].scenario.leaderHeadway,2s,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].scenario.usePrediction,true,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].scenario.useRadarPredSpeed,false,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].appl_type,"""SimplePlatooningApp""",,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].protocol_type,"""SimplePlatooningBeaconing""",,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].prot.beaconingInterval,0.1s,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].prot.priority,4,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].prot.packetSize,200,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].unicast.packetLossRate,0,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,**.traffic_type,"""PlatoonsTrafficManager""",,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,**.traffic.platoonInsertTime,1 s,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,**.traffic.nCars,8,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,**.traffic.platoonSize,8,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,**.traffic.nLanes,1,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,**.traffic.platooningVType,"""vtypeauto""",,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,**.traffic.platoonInsertDistance,10m,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,**.traffic.platoonInsertHeadway,0s,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,**.traffic.platoonLeaderHeadway,2s,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].sensors[8].minValue,0,,,
SinusoidalAllInjectionNoGui-2-20200606-16:31:26-4198,param,,,*.node[*].sensors[8].maxValue,250,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,runattr,,,configname,SinusoidalAllInjectionNoGui,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,runattr,,,datetime,20200606-16:31:26,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,runattr,,,experiment,SinusoidalAllInjectionNoGui,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,runattr,,,inifile,omnetpp.ini,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,runattr,,,iterationvars,"$leaderSpeed=100, $attackStart=10, $nCars=8, $platoonSize=8, $nLanes=1, $controller=2, $sController=""CONSENSUS"", $spacing=10, $headway=0, $leaderHeadway=2, $radar=true, $beaconInterval=0.1, $priority=4, $packetSize=200",,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,runattr,,,iterationvarsf,"leaderSpeed=100,attackStart=10,nCars=8,platoonSize=8,nLanes=1,controller=2,sController=CONSENSUS,spacing=10,headway=0,leaderHeadway=2,radar=true,beaconInterval=0.1,priority=4,packetSize=200-",,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,runattr,,,measurement,"$leaderSpeed=100, $attackStart=10, $nCars=8, $platoonSize=8, $nLanes=1, $controller=2, $sController=""CONSENSUS"", $spacing=10, $headway=0, $leaderHeadway=2, $radar=true, $beaconInterval=0.1, $priority=4, $packetSize=200",,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,runattr,,,network,Highway,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,runattr,,,processid,4199,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,runattr,,,repetition,0,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,runattr,,,replication,#0,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,runattr,,,resultdir,results,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,runattr,,,runnumber,3,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,runattr,,,seedset,0,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,itervar,,,attackStart,10,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,itervar,,,beaconInterval,0.1,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,itervar,,,controller,2,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,itervar,,,headway,0,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,itervar,,,leaderHeadway,2,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,itervar,,,leaderSpeed,100,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,itervar,,,nCars,8,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,itervar,,,nLanes,1,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,itervar,,,packetSize,200,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,itervar,,,platoonSize,8,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,itervar,,,priority,4,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,itervar,,,radar,true,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,itervar,,,sController,"""CONSENSUS""",,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,itervar,,,spacing,10,,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,param,,,*.node[*].scenario_type,"""SinusoidalScenario""",,,
SinusoidalAllInjectionNoGui-3-20200606-16:31:26-4199,param,,,*.node[*].scenario.leaderSpeed,100kmph,,,
